,item_type,id,url,title,location,price,rooms,m2
0,promo_top_ads,58803012,https://www.otodom.pl/oferta/sloneczne-mieszkanie-bronowice-residence-ID3YJlG.html#d80ce718fc,Słoneczne mieszkanie Bronowice Residence,"Mieszkanie na sprzedaż: Kraków, Bronowice",490 000 zł,3 pokoje,"56,60 m²"
1,promo_top_ads,57428480,https://www.otodom.pl/oferta/komfortowe-mieszkanie-45m2-na-grzegorzeckiej-ID3SXLO.html#d80ce718fc,Komfortowe mieszkanie 45m2 na Grzegórzeckiej,"Mieszkanie na sprzedaż: Kraków, Grzegórzki",520 000 zł,2 pokoje,"44,63 m²"
2,promo_top_ads,58384808,https://www.otodom.pl/oferta/mieszkanie-52-m-krakow-ID3VYys.html#d80ce718fc,"Mieszkanie, 52 m², Kraków","Mieszkanie na sprzedaż: Kraków, Prądnik Biały",359 000 zł,3 pokoje,52 m²
3,listing_no_promo,58887252,https://www.otodom.pl/oferta/2-pok-mieszkanie-przy-nowym-kleparzu-balkon-17m2-ID3Z5go.html#d80ce718fc,2 pok. mieszkanie przy Nowym Kleparzu -balkon 17m2,"Mieszkanie na sprzedaż: Kraków, Śródmieście",499 000 zł,2 pokoje,44 m²
4,listing_no_promo,58886964,https://www.otodom.pl/oferta/bronowice-1-pokoj-ogrodek-taras-37-m2-ID3Z5bK.html#d80ce718fc,"Bronowice, 1 Pokój, Ogródek, Taras, 37 m2","Mieszkanie na sprzedaż: Kraków, Bronowice",330 000 zł,1 pokój,"30,60 m²"
5,listing_no_promo,58886896,https://www.otodom.pl/oferta/mieszkanie-3-pokojowe-w-bardzo-dobrej-lokalizacji-ID3Z5aE.html#d80ce718fc,Mieszkanie 3-pokojowe w bardzo dobrej lokalizacji,"Mieszkanie na sprzedaż: Kraków, Krowodrza",480 000 zł,3 pokoje,"64,81 m²"
6,listing_no_promo,58886888,https://www.otodom.pl/oferta/nowe-3-pokojowe-mieszkanie-ID3Z5av.html#d80ce718fc,Nowe 3-pokojowe mieszkanie,"Mieszkanie na sprzedaż: Kraków, Kliny-Zacisze",399 900 zł,3 pokoje,48 m²
7,listing_no_promo,58886680,https://www.otodom.pl/oferta/bronowice-majora-lupaszki-taras-ID3Z57a.html#d80ce718fc,Bronowice - Majora Łupaszki - TARAS,"Mieszkanie na sprzedaż: Kraków, Mydlniki",579 000 zł,3 pokoje,68 m²
8,listing_no_promo,58886204,https://www.otodom.pl/oferta/2-pokojowe-vis-a-vis-uek-inwestycyjnie-ID3Z4Zu.html#d80ce718fc,!!! 2 pokojowe vis a vis UEK - inwestycyjnie !!!,"Mieszkanie na sprzedaż: Kraków, Stare Miasto",319 000 zł,2 pokoje,"38,61 m²"
9,listing_no_promo,57739928,https://www.otodom.pl/oferta/konopnickiej-1p-2-syp-okazja-mateczny-ID3UgNa.html#d80ce718fc,Konopnickiej - 1p. - 2 syp- okazja! Mateczny,"Mieszkanie na sprzedaż: Kraków, Podgórze",530 000 zł,3 pokoje,"54,99 m²"
10,listing_no_promo,58774472,https://www.otodom.pl/oferta/ruczaj-3-pokoje-garaz-miejsce-postojowe-komorka-ID3YBWm.html#d80ce718fc,Ruczaj 3 Pokoje+ Garaż+ Miejsce Postojowe+ Komórka,"Mieszkanie na sprzedaż: Kraków, Ruczaj",470 000 zł,3 pokoje,"51,60 m²"
11,listing_no_promo,58885512,https://www.otodom.pl/oferta/mieszkanie-do-wejscia-przy-placu-centralnym-ID3Z4Ok.html#d80ce718fc,MIESZKANIE DO WEJŚCIA przy Placu Centralnym,"Mieszkanie na sprzedaż: Kraków, małopolskie",339 700 zł,2 pokoje,"37,33 m²"
12,listing_no_promo,58884788,https://www.otodom.pl/oferta/rej-ul-zwierzyniecka-straszewskegostare-miasto3-ID3Z4CE.html#d80ce718fc,"rej.ul.Zwierzyniecka,Straszewskego*Stare Miasto*3-","Mieszkanie na sprzedaż: Kraków, Stare Miasto",1 650 000 zł,3 pokoje,"66,02 m²"
13,listing_no_promo,58884792,https://www.otodom.pl/oferta/4-pok-dwupoziomowe-oddanie-grudzien-2019-krakow-ID3Z4CI.html#d80ce718fc,4 pok. - dwupoziomowe.Oddanie Grudzień 2019 Kraków,"Mieszkanie na sprzedaż: Kraków, Skotniki",478 000 zł,4 pokoje,100 m²
14,listing_no_promo,58884784,https://www.otodom.pl/oferta/rej-ul-zwierzyniecka-straszewskegostare-miasto2-ID3Z4CA.html#d80ce718fc,"rej.ul.Zwierzyniecka,Straszewskego*Stare Miasto*2-","Mieszkanie na sprzedaż: Kraków, Stare Miasto",1 260 000 zł,2 pokoje,"50,31 m²"
15,listing_no_promo,58884732,https://www.otodom.pl/oferta/3-pokoje-przy-tauron-arena-ID3Z4BK.html#d80ce718fc,3 pokoje przy Tauron Arena!,"Mieszkanie na sprzedaż: Kraków, Olsza",357 000 zł,3 pokoje,"42,20 m²"
16,listing_no_promo,58884740,https://www.otodom.pl/oferta/mieszkanie-dla-rodziny-rzy-placu-imbramowskim-ID3Z4BS.html#d80ce718fc,Mieszkanie dla rodziny rzy Placu Imbramowskim!,"Mieszkanie na sprzedaż: Kraków, Prądnik Biały",399 000 zł,3 pokoje,65 m²
17,listing_no_promo,58686836,https://www.otodom.pl/oferta/krakow-kurdwanow-mieszkanie-3-pokojowe-ID3Yf7S.html#d80ce718fc,Kraków Kurdwanów Mieszkanie 3 pokojowe,"Mieszkanie na sprzedaż: Kraków, Kurdwanów",359 000 zł,3 pokoje,"61,30 m²"
18,listing_no_promo,58847044,https://www.otodom.pl/oferta/3-pokojowy-apartament-przy-ul-kosciuszki-ID3YUNS.html#d80ce718fc,3 pokojowy apartament przy ul. Kościuszki!,"Mieszkanie na sprzedaż: Kraków, Salwator",899 000 zł,3 pokoje,67 m²
19,listing_no_promo,58884156,https://www.otodom.pl/oferta/mieszkanie-3-pok-bronowice-kolo-ikea-ID3Z4ss.html#d80ce718fc,"Mieszkanie 3 pok, Bronowice, koło Ikea","Mieszkanie na sprzedaż: Kraków, Prądnik Biały",440 000 zł,3 pokoje,65 m²
20,listing_no_promo,58884148,https://www.otodom.pl/oferta/dom-w-cenie-mieszkania-ok-ul-lokietka-ID3Z4sk.html#d80ce718fc,Dom w cenie mieszkania! ok. ul. Łokietka,"Mieszkanie na sprzedaż: Kraków, małopolskie",385 000 zł,3 pokoje,64 m²
21,listing_no_promo,58884144,https://www.otodom.pl/oferta/3-pokoje-w-bronowicach-w-otoczeniu-zieleni-ID3Z4sg.html#d80ce718fc,3 pokoje w Bronowicach w otoczeniu Zieleni,"Mieszkanie na sprzedaż: Kraków, Bronowice Wielkie",381 900 zł,3 pokoje,57 m²
22,listing_no_promo,58884140,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-w-zielonej-czesci-bronowic-ID3Z4sc.html#d80ce718fc,3 pokojowe mieszkanie w zielonej części Bronowic,"Mieszkanie na sprzedaż: Kraków, Bronowice Wielkie",372 000 zł,3 pokoje,57 m²
23,listing_no_promo,58884132,https://www.otodom.pl/oferta/mieszkanie-3pok-piekny-widok-bronowice-ogrod-85m2-ID3Z4s4.html#d80ce718fc,"Mieszkanie 3pok, piękny widok Bronowice ogród 85m2","Mieszkanie na sprzedaż: Kraków, Bronowice Małe",360 000 zł,3 pokoje,48 m²
24,listing_no_promo,58884072,https://www.otodom.pl/oferta/mieszkanie-27-19-m-krakow-ID3Z4r6.html#d80ce718fc,"Mieszkanie, 27,19 m², Kraków","Mieszkanie na sprzedaż: Kraków, Wzgórza Krzesławickie",209 000 zł,2 pokoje,"27,19 m²"
25,listing_no_promo,58884064,https://www.otodom.pl/oferta/mieszkanie-56-40-m-krakow-ID3Z4qY.html#d80ce718fc,"Mieszkanie, 56,40 m², Kraków","Mieszkanie na sprzedaż: Kraków, Krowodrza Górka",439 000 zł,4 pokoje,"56,40 m²"
26,listing_no_promo,58884048,https://www.otodom.pl/oferta/mieszkanie-38-m-krakow-ID3Z4qI.html#d80ce718fc,"Mieszkanie, 38 m², Kraków","Mieszkanie na sprzedaż: Kraków, Dąbie",328 000 zł,2 pokoje,38 m²
27,listing_no_promo,58884044,https://www.otodom.pl/oferta/3-pokoje-mieszkanie-debniki-ruczaj-ID3Z4qE.html#d80ce718fc,3 pokoje mieszkanie Dębniki Ruczaj,"Mieszkanie na sprzedaż: Kraków, Ruczaj",478 909 zł,3 pokoje,"53,81 m²"
28,listing_no_promo,58883740,https://www.otodom.pl/oferta/2-pokoje-z-widokim-na-zielen-ID3Z4lK.html#d80ce718fc,2 pokoje z widokim na zieleń !,"Mieszkanie na sprzedaż: Kraków, Bronowice Wielkie",300 200 zł,2 pokoje,38 m²
29,listing_no_promo,55963868,https://www.otodom.pl/oferta/3-5-pok-62m2-dywizjonu-303-czyzyny-piekne-ID3MOL2.html#d80ce718fc,"3,5 Pok 62m2 Dywizjonu 303/Czyżyny! Piękne!","Mieszkanie na sprzedaż: Kraków, Czyżyny",450 000 zł,3 pokoje,62 m²
30,listing_no_promo,57846532,https://www.otodom.pl/oferta/klimatyczne-4-pokojowe-mieszkanie-w-starej-hucie-ID3UIvA.html#d80ce718fc,Klimatyczne 4 pokojowe mieszkanie w Starej Hucie,"Mieszkanie na sprzedaż: Kraków, małopolskie",440 000 zł,4 pokoje,63 m²
31,listing_no_promo,58113628,https://www.otodom.pl/oferta/mieszkanie-2-pokojowe-z-ciepla-woda-miejska-ID3WQ0A.html#d80ce718fc,Mieszkanie 2 pokojowe z ciepłą wodą miejską,"Mieszkanie na sprzedaż: Kraków, Nowa Huta",305 000 zł,2 pokoje,"47,55 m²"
32,listing_no_promo,58883368,https://www.otodom.pl/oferta/niska-spokojna-zabudowa-3-pokoje-46-55-m-zlocien-ID3Z4fK.html#d80ce718fc,"Niska, spokojna zabudowa 3 pokoje 46,55 m² Złocień","Mieszkanie na sprzedaż: Kraków, małopolskie",310 000 zł,3 pokoje,"46,55 m²"
33,listing_no_promo,58883268,https://www.otodom.pl/oferta/27-19m2-osiedle-na-stoku-ID3Z4e8.html#d80ce718fc,"27,19m2 Osiedle Na Stoku.","Mieszkanie na sprzedaż: Kraków, Wzgórza Krzesławickie",209 000 zł,1 pokój,"27,19 m²"
34,listing_no_promo,58883220,https://www.otodom.pl/oferta/mieszkanie-70-m-krakow-ID3Z4dm.html#d80ce718fc,"Mieszkanie, 70 m², Kraków","Mieszkanie na sprzedaż: Kraków, Bieżanów-Prokocim",455 000 zł,3 pokoje,70 m²
35,listing_no_promo,58883172,https://www.otodom.pl/oferta/pradnik-bialy-jasna-kuchnia-ID3Z4cA.html#d80ce718fc,"Prądnik Biały, jasna kuchnia","Mieszkanie na sprzedaż: Kraków, Prądnik Biały",314 000 zł,2 pokoje,50 m²
36,listing_no_promo,58883184,https://www.otodom.pl/oferta/2-pokoje-balkon-ID3Z4cM.html#d80ce718fc,"2 pokoje, balkon,","Mieszkanie na sprzedaż: Kraków, Nowa Huta",319 000 zł,2 pokoje,"41,40 m²"
37,listing_no_promo,58883076,https://www.otodom.pl/oferta/lea-residence-krowodrza-bronowice-2-pok-ID3Z4b2.html#d80ce718fc,Lea Residence | Krowodrza/Bronowice | 2 Pok.,"Mieszkanie na sprzedaż: Kraków, Krowodrza",528 000 zł,2 pokoje,48 m²
38,listing_no_promo,58882992,https://www.otodom.pl/oferta/kawalerka-debniki-na-2019-ogrod-26-m2-ID3Z49G.html#d80ce718fc,Kawalerka Dębniki na 2019 +ogród 26 m2,"Mieszkanie na sprzedaż: Kraków, Ruczaj",271 180 zł,1 pokój,"29,80 m²"
39,listing_no_promo,58883000,https://www.otodom.pl/oferta/3-pokoje-debniki-na-2019-ogrod-136-m2-ID3Z49O.html#d80ce718fc,3 pokoje Dębniki na 2019 +ogród 136 m2,"Mieszkanie na sprzedaż: Kraków, Ruczaj",536 581 zł,3 pokoje,"60,29 m²"
40,listing_no_promo,58882984,https://www.otodom.pl/oferta/apartament-3-pokoje-2-balkony-wysoki-standard-ID3Z49y.html#d80ce718fc,apartament 3 pokoje 2 balkony wysoki standard,"Mieszkanie na sprzedaż: Kraków, Ruczaj",478 909 zł,3 pokoje,"53,81 m²"
41,listing_no_promo,58882980,https://www.otodom.pl/oferta/apartament-typu-studio-wysoki-standard-ID3Z49u.html#d80ce718fc,apartament typu studio wysoki standard,"Mieszkanie na sprzedaż: Kraków, Ruczaj",257 166 zł,1 pokój,"28,26 m²"
42,listing_no_promo,58882972,https://www.otodom.pl/oferta/apartament-studio-kameralna-inwestycja-ID3Z49m.html#d80ce718fc,apartament studio kameralna inwestycja,"Mieszkanie na sprzedaż: Kraków, Ruczaj",271 180 zł,1 pokój,"29,80 m²"
43,listing_no_promo,57494484,https://www.otodom.pl/oferta/2-pok-zablocie-61m2-2-balkony-eng-ID3TeVo.html#d80ce718fc,2 pok. | Zabłocie | 61m2 | 2 balkony | ENG,"Mieszkanie na sprzedaż: Kraków, Zabłocie",729 000 zł,2 pokoje,61 m²
44,listing_no_promo,58882032,https://www.otodom.pl/oferta/mieszkanie-w-nowym-budynku-ul-dobrego-pasterza-ID3Z3Uc.html#d80ce718fc,Mieszkanie w Nowym Budynku ul. Dobrego Pasterza,"Mieszkanie na sprzedaż: Kraków, Prądnik Czerwony",397 710 zł,3 pokoje,"44,19 m²"
45,listing_no_promo,58882028,https://www.otodom.pl/oferta/super-mieszkanie-miasteczko-studenckie-ID3Z3U8.html#d80ce718fc,Super Mieszkanie Miasteczko Studenckie,"Mieszkanie na sprzedaż: Kraków, Krowodrza",219 000 zł,1 pokój,"15,30 m²"
46,listing_no_promo,58881956,https://www.otodom.pl/oferta/do-wejscia-garaz-dla-rodziny-ID3Z3SY.html#d80ce718fc,* Do wejścia!* Garaż * Dla rodziny!,"Mieszkanie na sprzedaż: Kraków, Łagiewniki-Borek Fałęcki",479 000 zł,2 pokoje,66 m²
47,listing_no_promo,58881712,https://www.otodom.pl/oferta/wyjatkowa-inwestycja-2-kawalerki-blisko-centrum-ID3Z3P2.html#d80ce718fc,"Wyjątkowa inwestycja, 2 kawalerki blisko centrum","Mieszkanie na sprzedaż: Kraków, Krowodrza Górka",420 000 zł,2 pokoje,48 m²
48,listing_no_promo,58881704,https://www.otodom.pl/oferta/wykonczone-mieszkanie-w-centrum-na-poziomie-1-ID3Z3OU.html#d80ce718fc,Wykończone mieszkanie w centrum na poziomie -1,"Mieszkanie na sprzedaż: Kraków, Śródmieście",305 000 zł,2 pokoje,42 m²
49,listing_no_promo,58881696,https://www.otodom.pl/oferta/2-pokoje-w-wysokim-standardzie-przy-bloniach-ID3Z3OM.html#d80ce718fc,2 pokoje w wysokim standardzie przy Błoniach,"Mieszkanie na sprzedaż: Kraków, Salwator",450 000 zł,2 pokoje,41 m²
50,listing_no_promo,58881700,https://www.otodom.pl/oferta/nowe-2-pokojowe-z-balkonem-ruczaj-iii-q-2020-r-ID3Z3OQ.html#d80ce718fc,"Nowe 2-pokojowe z balkonem,Ruczaj,III Q 2020 r","Mieszkanie na sprzedaż: Kraków, Ruczaj",307 000 zł,2 pokoje,"41,16 m²"
51,listing_no_promo,58881692,https://www.otodom.pl/oferta/piekne-mieszkanie-2-pok-po-generalnym-remoncie-ID3Z3OI.html#d80ce718fc,Piękne mieszkanie 2-pok. po generalnym remoncie,"Mieszkanie na sprzedaż: Kraków, Olsza",259 000 zł,2 pokoje,22 m²
52,listing_no_promo,58881680,https://www.otodom.pl/oferta/przytulne-mieszkanie-55-m2-krowodrza-gorka-petla-ID3Z3Ov.html#d80ce718fc,Przytulne mieszkanie 55 m2 Krowodrza Górka pętla,"Mieszkanie na sprzedaż: Kraków, Krowodrza Górka",509 000 zł,2 pokoje,55 m²
53,listing_no_promo,58881676,https://www.otodom.pl/oferta/mieszkanie-z-duzym-ogrodkiem-na-wysokim-parterze-ID3Z3Os.html#d80ce718fc,Mieszkanie z dużym ogródkiem na wysokim parterze,"Mieszkanie na sprzedaż: Kraków, Kurdwanów",365 000 zł,2 pokoje,61 m²
54,listing_no_promo,58868472,https://www.otodom.pl/oferta/3-pokoje-osiedle-ogrodowe-wysoki-standard-ID3Z0nu.html#d80ce718fc,"3 pokoje, osiedle Ogrodowe, wysoki standard","Mieszkanie na sprzedaż: Kraków, Nowa Huta",439 900 zł,3 pokoje,55 m²
55,listing_no_promo,58881624,https://www.otodom.pl/oferta/piekne-2-pok-balkon-piwnica-krowodrza-ID3Z3NC.html#d80ce718fc,"Piękne 2 pok., balkon, piwnica, Krowodrza","Mieszkanie na sprzedaż: Kraków, Łobzów",349 000 zł,2 pokoje,32 m²
56,listing_no_promo,58881472,https://www.otodom.pl/oferta/po-generalnym-remonciebalkonpiwnicatramwaj-ID3Z3La.html#d80ce718fc,*Po Generalnym Remoncie*Balkon*Piwnica*Tramwaj,"Mieszkanie na sprzedaż: Kraków, Wola Duchacka",382 000 zł,3 pokoje,"44,50 m²"
57,listing_no_promo,53389348,https://www.otodom.pl/oferta/park-lesny-bronowice-zamieszkaj-w-wakacje-gotowe-ID3C10v.html#d80ce718fc,Park Leśny Bronowice zamieszkaj w wakacje - gotowe,"Mieszkanie na sprzedaż: Kraków, Bronowice",388 600 zł,3 pokoje,58 m²
58,listing_no_promo,58436688,https://www.otodom.pl/oferta/park-lesny-bronowice-zamieszkaj-w-wakacje-gotowe-ID3Xc3e.html#d80ce718fc,Park Leśny Bronowice zamieszkaj w wakacje - gotowe,"Mieszkanie na sprzedaż: Kraków, Bronowice",432 630 zł,4 pokoje,"65,55 m²"
59,listing_no_promo,58881340,https://www.otodom.pl/oferta/2-pokoje-64-m2-ul-kollataja-krakow-ID3Z3J2.html#d80ce718fc,"2 pokoje, 64 m2 ul. Kołłataja Kraków","Mieszkanie na sprzedaż: Kraków, Stare Miasto",490 000 zł,2 pokoje,64 m²
60,listing_no_promo,58721992,https://www.otodom.pl/oferta/kawalerka-w-stanie-deweloperskim-krowodrza-ID3YogU.html#d80ce718fc,Kawalerka W Stanie Deweloperskim Krowodrza,"Mieszkanie na sprzedaż: Kraków, Łobzów",271 000 zł,1 pokój,"25,42 m²"
61,listing_no_promo,58713556,https://www.otodom.pl/oferta/mieszkanie-3-pokojowe-stan-deweloperski-krowodrza-ID3Ym4Q.html#d80ce718fc,Mieszkanie 3 Pokojowe Stan Deweloperski Krowodrza,"Mieszkanie na sprzedaż: Kraków, Łobzów",540 930 zł,3 pokoje,"56,94 m²"
62,listing_no_promo,58880976,https://www.otodom.pl/oferta/luzycka-mieszkanie-dla-rodziny-ID3Z3Da.html#d80ce718fc,Łużycka - mieszkanie dla rodziny,"Mieszkanie na sprzedaż: Kraków, Podgórze Duchackie",549 000 zł,3 pokoje,"85,14 m²"
63,listing_no_promo,58637896,https://www.otodom.pl/oferta/wola-justowska-4-pok-7-km-od-centrum-ID3Y2ov.html#d80ce718fc,Wola Justowska 4 pok. - 7 km od Centrum,"Mieszkanie na sprzedaż: Kraków, Wola Justowska",747 000 zł,4 pokoje,98 m²
64,listing_no_promo,58880456,https://www.otodom.pl/oferta/mieszkanie-tbs-krakow-ul-rydygiera-66m2-ID3Z3uM.html#d80ce718fc,"Mieszkanie Tbs, Kraków ul. Rydygiera, 66m2","Mieszkanie na sprzedaż: Kraków, Rżąka",150 000 zł,3 pokoje,66 m²
65,listing_no_promo,58880332,https://www.otodom.pl/oferta/wyremontowane-mieszkanie-2-pokoje-pradnik-czerwony-ID3Z3sM.html#d80ce718fc,Wyremontowane Mieszkanie 2 Pokoje Prądnik Czerwony,"Mieszkanie na sprzedaż: Kraków, Ugorek",249 000 zł,2 pokoje,"21,40 m²"
66,listing_no_promo,58679532,https://www.otodom.pl/oferta/krakow-kurdwanow-ul-wyslouchow-nowe-budownictwo-ID3Yde4.html#d80ce718fc,"Kraków, Kurdwanów ul. Wysłouchów, NOWE BUDOWNICTWO","Mieszkanie na sprzedaż: Kraków, Podgórze Duchackie",326 000 zł,2 pokoje,"50,50 m²"
67,listing_no_promo,58879836,https://www.otodom.pl/oferta/4pok-apartament-z-tarasem-przy-bulwarach-wislanych-ID3Z3kM.html#d80ce718fc,4pok.apartament z tarasem przy Bulwarach Wiślanych,"Mieszkanie na sprzedaż: Kraków, Dębniki",1 485 500 zł,4 pokoje,"102,55 m²"
68,listing_no_promo,58879828,https://www.otodom.pl/oferta/krolewski-apartament-przy-wisle-i-parku-bez-pcc-ID3Z3kE.html#d80ce718fc,Królewski Apartament przy Wiśle i Parku! Bez Pcc,"Mieszkanie na sprzedaż: Kraków, Dębniki",727 300 zł,3 pokoje,"74,22 m²"
69,listing_no_promo,58879824,https://www.otodom.pl/oferta/wyjatkowy-apartament-z-widokiem-na-wawel-sprawdz-ID3Z3kA.html#d80ce718fc,Wyjątkowy Apartament z Widokiem na Wawel! Sprawdź!,"Mieszkanie na sprzedaż: Kraków, Dębniki",1 149 000 zł,4 pokoje,115 m²
70,listing_no_promo,58879820,https://www.otodom.pl/oferta/dwupoziomowy-apart-przy-wisle-alternatywa-domu-ID3Z3kv.html#d80ce718fc,Dwupoziomowy apart. przy Wiśle-alternatywa domu!,"Mieszkanie na sprzedaż: Kraków, Dębniki",846 000 zł,4 pokoje,"85,50 m²"
71,listing_no_promo,58879768,https://www.otodom.pl/oferta/4pok-bulwary-wislane-bez-prowizji-i-pcc-sprawdz-ID3Z3jG.html#d80ce718fc,4pok.Bulwary Wiślane-bez prowizji i Pcc-Sprawdź!,"Mieszkanie na sprzedaż: Kraków, Dębniki",953 700 zł,4 pokoje,"93,50 m²"
72,listing_no_promo,58879764,https://www.otodom.pl/oferta/tylko-u-nas-wyjatkowy-apartament-przy-wisledebniki-ID3Z3jC.html#d80ce718fc,Tylko U Nas-wyjątkowy apartament przy WiśleDębniki,"Mieszkanie na sprzedaż: Kraków, Dębniki",774 400 zł,4 pokoje,"77,85 m²"
73,listing_no_promo,58879760,https://www.otodom.pl/oferta/dwupoziomowy-apartament-przy-wisle-debniki-ID3Z3jy.html#d80ce718fc,Dwupoziomowy apartament przy Wiśle- Dębniki!,"Mieszkanie na sprzedaż: Kraków, Dębniki",751 000 zł,4 pokoje,"76,30 m²"
74,listing_no_promo,58879740,https://www.otodom.pl/oferta/4pokoje-w-zielonej-okolicy-idelane-dla-rodziny-ID3Z3je.html#d80ce718fc,4pokoje w zielonej okolicy- idelane dla rodziny!,"Mieszkanie na sprzedaż: Kraków, Mistrzejowice",470 000 zł,4 pokoje,"72,50 m²"
75,promo_top_ads,58100812,https://www.otodom.pl/oferta/jasny-nowoczesny-apartament-3p-53m2-wislane-tarasy-ID3WMFS.html#e4d594e2f2,Jasny Nowoczesny Apartament 3p 53m2 Wiślane Tarasy,"Mieszkanie na sprzedaż: Kraków, Grzegórzki",664 250 zł,3 pokoje,"53,14 m²"
76,promo_top_ads,58855784,https://www.otodom.pl/oferta/idealne-dla-twojej-rodziny-ID3YX4Q.html#e4d594e2f2,Idealne dla Twojej Rodziny!,"Mieszkanie na sprzedaż: Kraków, małopolskie",487 000 zł,4 pokoje,"71,42 m²"
77,promo_top_ads,58610552,https://www.otodom.pl/oferta/sloneczne-komfortowe-do-zamieszkania-ruczaj-debnik-ID3XWhu.html#e4d594e2f2,Słoneczne Komfortowe Do Zamieszkania Ruczaj/Dębnik,"Mieszkanie na sprzedaż: Kraków, Dębniki",549 000 zł,3 pokoje,68 m²
78,listing_no_promo,58879744,https://www.otodom.pl/oferta/3pokoje-z-tarasem-na-dachu-piekny-widok-sprawdz-ID3Z3ji.html#e4d594e2f2,3pokoje z Tarasem Na Dachu-piękny widok!Sprawdź!,"Mieszkanie na sprzedaż: Kraków, Mistrzejowice",546 700 zł,3 pokoje,"63,60 m²"
79,listing_no_promo,58879736,https://www.otodom.pl/oferta/pelna-infrastrutura-w-jednym-miejscu-gotowy-ID3Z3ja.html#e4d594e2f2,Pełna infrastrutura w jednym miejscu-Gotowy!,"Mieszkanie na sprzedaż: Kraków, Mistrzejowice",464 200 zł,5 pokoi,87 m²
80,listing_no_promo,58879732,https://www.otodom.pl/oferta/4pok-z-naroznym-tarasem-ostatnie-apart-ID3Z3j6.html#e4d594e2f2,4pok. z narożnym tarasem-ostatnie apart.,"Mieszkanie na sprzedaż: Kraków, małopolskie",556 000 zł,4 pokoje,"75,50 m²"
81,listing_no_promo,58879628,https://www.otodom.pl/oferta/2-pok-z-oddzielna-kuchnia-przy-rondzie-matecznym-ID3Z3hq.html#e4d594e2f2,2 pok. z oddzielną kuchnią przy Rondzie Matecznym,"Mieszkanie na sprzedaż: Kraków, Podgórze",445 000 zł,2 pokoje,"52,50 m²"
82,listing_no_promo,58879512,https://www.otodom.pl/oferta/2pok-z-2-balkonami-przy-bloniach-luksus-i-wygoda-ID3Z3fy.html#e4d594e2f2,2pok z 2 Balkonami przy Błoniach! Luksus i Wygoda,"Mieszkanie na sprzedaż: Kraków, Wola Justowska",407 000 zł,2 pokoje,40 m²
83,listing_no_promo,58879508,https://www.otodom.pl/oferta/apart-przy-bloniach-2pok-w-najwyzszym-standardzie-ID3Z3fu.html#e4d594e2f2,Apart przy Błoniach! 2pok w Najwyższym Standardzie,"Mieszkanie na sprzedaż: Kraków, Wola Justowska",473 000 zł,2 pokoje,45 m²
84,listing_no_promo,58879504,https://www.otodom.pl/oferta/apart-przy-bloniach-2pok-w-najwyzszym-standardzie-ID3Z3fq.html#e4d594e2f2,Apart przy Błoniach! 2pok w Najwyższym Standardzie,"Mieszkanie na sprzedaż: Kraków, Wola Justowska",534 000 zł,3 pokoje,50 m²
85,listing_no_promo,58879500,https://www.otodom.pl/oferta/3pok-z-naroznym-balkonem-blonie-najwyzszy-standard-ID3Z3fm.html#e4d594e2f2,3pok z Narożnym Balkonem-Błonie Najwyższy Standard,"Mieszkanie na sprzedaż: Kraków, Wola Justowska",750 000 zł,2 pokoje,75 m²
86,listing_no_promo,58879464,https://www.otodom.pl/oferta/designerski-apartament-nadwislanska-2-pok-55m-park-ID3Z3eM.html#e4d594e2f2,Designerski Apartament Nadwiślanska 2 pok 55m park,"Mieszkanie na sprzedaż: Kraków, Podgórze",890 000 zł,2 pokoje,58 m²
87,listing_no_promo,58879412,https://www.otodom.pl/oferta/apartament-w-centrum-ID3Z3dV.html#e4d594e2f2,Apartament w centrum,"Mieszkanie na sprzedaż: Kraków, Wola Justowska",769 100 zł,4 pokoje,"84,15 m²"
88,listing_no_promo,58879400,https://www.otodom.pl/oferta/apartament-w-centrum-ID3Z3dK.html#e4d594e2f2,Apartament w centrum,"Mieszkanie na sprzedaż: Kraków, Wola Justowska",664 250 zł,3 pokoje,"69,10 m²"
89,listing_no_promo,58879388,https://www.otodom.pl/oferta/piekne-jednopokojowe-mieszkanie-strych-70-do-wykup-ID3Z3dy.html#e4d594e2f2,Piękne Jednopokojowe Mieszkanie-Strych 70 Do Wykup,"Mieszkanie na sprzedaż: Kraków, Nowa Huta",265 000 zł,1 pokój,"36,46 m²"
90,listing_no_promo,58879256,https://www.otodom.pl/oferta/mieszkanei-inwestycyjne-centrum-38m2-krolewska-ID3Z3bq.html#e4d594e2f2,"Mieszkanei Inwestycyjne Centrum, 38m2, Królewska","Mieszkanie na sprzedaż: Kraków, Krowodrza",340 000 zł,1 pokój,"37,90 m²"
91,listing_no_promo,58879024,https://www.otodom.pl/oferta/czyzyny-mozliwosc-zrobienia-6-pokoi-ID3Z37G.html#e4d594e2f2,Czyżyny - Możliwość zrobienia 6 pokoi !,"Mieszkanie na sprzedaż: Kraków, Czyżyny",410 000 zł,3 pokoje,62 m²
92,listing_no_promo,58878880,https://www.otodom.pl/oferta/2pok-w-luksusowym-apartamentowcu-z-silownia-ID3Z35m.html#e4d594e2f2,2pok w Luksusowym Apartamentowcu z Siłownią!!,"Mieszkanie na sprzedaż: Kraków, Wola Justowska",317 000 zł,2 pokoje,28 m²
